CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"140050 São João da Baliza";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"140060 São Luiz";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;6
"140070 Uiramutã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;10
"150010 Abaetetuba";-;1;2;-;20;-;1;12;-;-;1;4;-;1;2;24;-;-;-;1;-;7;-;-;-;1;2;-;79
"150013 Abel Figueiredo";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"150020 Acará";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;1;1;-;-;-;-;21
"150030 Afuá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;1;1;-;-;-;-;13
"150034 Água Azul do Norte";1;-;1;-;1;1;1;-;-;-;-;1;-;-;-;8;-;-;-;1;-;1;1;-;-;-;-;-;17
"150040 Alenquer";-;-;1;-;1;-;2;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;1;-;-;2;2;-;14
"150050 Almeirim";-;-;-;-;6;-;1;-;-;-;-;2;-;-;-;6;-;-;-;1;-;-;1;-;-;-;-;-;17
"150060 Altamira";2;-;2;-;12;1;7;4;-;1;-;6;-;-;1;17;-;1;-;2;-;4;1;-;-;-;1;-;62
"150070 Anajás";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;6
"150080 Ananindeua";-;-;1;-;46;3;15;13;-;-;1;10;-;-;3;-;-;1;2;-;-;18;1;-;-;-;1;-;115
"150085 Anapu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;9
"150090 Augusto Corrêa";1;-;-;-;2;-;1;-;-;-;-;1;-;-;-;15;-;-;-;1;-;-;1;-;-;-;-;-;22
"150095 Aurora do Pará";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;8
"150100 Aveiro";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;1;-;-;-;-;9
"150110 Bagre";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"150120 Baião";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;12;-;-;-;1;-;1;1;-;-;-;-;-;18
"150125 Bannach";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;1;-;-;-;-;7
"150130 Barcarena";-;-;1;-;5;-;7;15;-;1;-;3;-;-;1;19;-;-;-;2;-;-;1;2;-;-;-;-;57
"150140 Belém";-;1;9;-;73;2;276;928;1;3;22;18;2;1;15;5;-;2;-;4;-;67;1;-;2;-;14;-;1446
"150145 Belterra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;1;1;-;-;-;-;12
"150150 Benevides";-;-;1;-;3;1;1;-;-;-;-;1;-;-;-;13;-;-;-;-;-;1;1;-;-;-;-;-;22
"150157 Bom Jesus do Tocantins";-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;2;-;-;-;-;-;10
"150160 Bonito";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;4;-;-;-;1;-;-;1;-;-;-;-;-;9
"150170 Bragança";-;-;1;-;11;1;3;5;-;-;-;3;-;-;-;9;-;-;-;-;-;2;1;-;-;-;-;-;36
"150172 Brasil Novo";-;-;1;-;5;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;11
"150175 Brejo Grande do Araguaia";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;10
"150178 Breu Branco";-;-;1;-;5;1;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;2;2;1;-;-;-;-;21
"150180 Breves";-;-;1;-;7;-;-;1;-;1;-;1;-;-;-;25;-;-;-;1;-;-;1;-;-;-;-;-;38
"150190 Bujaru";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;12
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;1;1;-;-;-;-;13
"150195 Cachoeira do Piriá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;6
"150210 Cametá";-;-;1;-;14;-;-;-;-;1;-;2;-;-;1;7;-;-;-;2;-;4;1;-;-;1;1;-;35
"150215 Canaã dos Carajás";1;-;1;-;6;1;10;4;-;-;-;2;-;-;-;4;-;-;-;1;-;-;1;-;1;-;-;-;32
"150220 Capanema";-;1;-;-;19;1;6;1;-;1;-;4;-;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;38
"150230 Capitão Poço";-;-;-;-;4;-;1;-;-;1;-;2;-;-;-;12;-;-;-;1;-;2;-;-;-;-;-;-;23
"150240 Castanhal";-;1;1;-;34;-;20;27;-;1;3;3;1;-;7;11;-;-;-;1;-;9;2;-;-;-;2;-;123
"150250 Chaves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;4
"150260 Colares";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;11
"150270 Conceição do Araguaia";1;-;1;-;10;2;3;10;-;1;-;3;-;-;-;4;-;-;-;2;-;6;1;-;-;-;3;-;47
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;8
"150276 Cumaru do Norte";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;10
"150277 Curionópolis";-;-;-;-;7;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;11
"150280 Curralinho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;1;-;-;-;-;10
"150285 Curuá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;7
"150290 Curuçá";-;-;1;-;10;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;14
"150293 Dom Eliseu";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;8;-;-;-;1;-;-;1;-;-;-;-;-;14
"150295 Eldorado do Carajás";-;-;1;-;5;-;-;-;-;-;-;2;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;15
"150300 Faro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;5
"150304 Floresta do Araguaia";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;9
"150307 Garrafão do Norte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;9
"150309 Goianésia do Pará";-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;13;-;-;-;-;-;2;2;1;-;-;-;-;21
"150310 Gurupá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;1;1;-;1;-;-;25
"150320 Igarapé-Açu";1;-;-;-;10;-;1;2;-;-;-;1;-;-;1;2;-;-;-;1;-;-;1;-;-;-;1;-;21
"150330 Igarapé-Miri";-;-;1;-;10;-;2;-;-;1;-;2;-;-;-;2;-;-;-;-;-;4;-;-;-;1;1;-;24
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10;-;-;-;1;-;-;-;-;-;-;-;-;12
"150345 Ipixuna do Pará";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;6;-;-;-;-;-;1;1;-;-;-;-;-;11
"150350 Irituia";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;16
"150360 Itaituba";-;-;-;-;15;-;2;1;-;-;-;7;-;-;-;3;-;-;-;1;-;2;1;-;-;-;-;-;32
"150370 Itupiranga";-;-;-;-;-;1;1;1;-;-;-;2;-;-;-;11;-;-;-;1;-;-;1;-;-;-;-;-;18
"150375 Jacareacanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"150380 Jacundá";1;-;1;-;1;1;-;-;-;1;-;4;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;19
"150390 Juruti";-;-;-;-;9;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;15
"150400 Limoeiro do Ajuru";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;13
"150405 Mãe do Rio";-;-;-;-;5;-;2;1;-;-;-;-;2;-;-;3;-;-;-;1;-;1;1;-;1;-;-;-;17
"150410 Magalhães Barata";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;10
"150420 Marabá";-;1;1;-;12;2;41;41;-;1;2;4;-;-;3;8;-;-;2;2;-;16;1;-;-;-;2;-;139
"150430 Maracanã";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;11;-;-;-;1;-;1;1;1;-;-;-;-;23
"150440 Marapanim";-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1;-;-;-;-;17
"150442 Marituba";-;-;2;-;14;-;5;-;-;1;-;1;-;-;-;-;-;-;-;1;-;5;-;1;-;-;1;-;31
"150445 Medicilândia";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;1;1;-;-;-;-;11
"150450 Melgaço";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;11
"150460 Mocajuba";-;-;1;-;8;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;17
"150470 Moju";-;-;1;-;9;1;1;-;-;1;-;1;-;-;-;7;-;-;-;-;-;1;1;-;-;-;-;-;23
"150480 Monte Alegre";-;-;-;-;7;-;2;1;-;1;-;-;-;-;-;34;-;-;-;1;-;2;1;4;-;-;1;-;54
"150490 Muaná";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;1;1;-;-;-;-;13
"150495 Nova Esperança do Piriá";-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;11
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;1;-;-;-;-;7
"150500 Nova Timboteua";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"150503 Novo Progresso";-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;14;-;-;-;-;-;-;1;-;-;-;1;-;19
"150506 Novo Repartimento";-;-;-;-;6;1;-;-;-;-;-;1;-;-;2;7;-;-;-;1;-;-;1;-;-;-;1;-;20
"150510 Óbidos";-;-;-;-;6;-;1;4;-;-;-;1;-;-;-;6;-;-;-;1;-;2;1;-;-;-;-;-;22
"150520 Oeiras do Pará";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;15
"150530 Oriximiná";-;-;-;-;6;-;1;1;-;1;-;3;-;-;2;14;-;-;-;-;-;-;2;-;-;-;-;-;30
"150540 Ourém";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;9
"150543 Ourilândia do Norte";-;-;1;-;5;1;5;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;20
"150548 Pacajá";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;7
"150550 Paragominas";-;-;1;-;-;-;11;5;-;-;-;4;-;-;-;18;-;-;-;1;1;7;1;-;-;-;1;-;50
"150553 Parauapebas";-;-;1;-;8;1;23;49;-;1;-;7;-;-;4;7;-;1;-;1;-;4;-;-;-;-;-;-;107
"150555 Pau D'Arco";-;-;-;-;5;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"150560 Peixe-Boi";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;6
"150563 Piçarra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;1;1;1;-;-;-;-;11
"150565 Placas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;6
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;4
"150580 Portel";-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;17
"150590 Porto de Moz";1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;10;-;-;-;-;-;-;1;-;-;-;-;-;15
"150600 Prainha";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;13
"150610 Primavera";1;-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;10
"150611 Quatipuru";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;7
"150613 Redenção";-;1;1;-;8;1;10;19;-;1;-;6;-;-;1;5;-;-;-;-;-;5;1;-;-;-;-;-;59
"150616 Rio Maria";1;-;1;-;7;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;14
"150618 Rondon do Pará";1;-;1;-;9;1;-;3;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;22
"150619 Rurópolis";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;7
"150620 Salinópolis";1;-;-;-;10;1;1;-;-;-;-;2;-;-;-;3;-;-;-;1;-;1;1;-;-;-;-;-;21
"150630 Salvaterra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12;-;-;-;1;-;-;-;1;-;-;-;-;15
"150635 Santa Bárbara do Pará";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;3
"150650 Santa Izabel do Pará";-;-;2;-;17;1;1;-;-;1;-;1;-;-;1;3;-;-;-;1;-;3;1;-;-;-;-;-;32
"150655 Santa Luzia do Pará";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;12
"150658 Santa Maria das Barreiras";-;-;-;-;8;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"150660 Santa Maria do Pará";1;-;-;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;13
"150670 Santana do Araguaia";1;-;-;-;5;1;2;1;-;1;1;2;-;-;-;2;-;-;-;1;-;4;2;1;-;-;1;-;25
"150680 Santarém";-;1;2;-;41;-;36;28;1;-;-;9;-;-;4;35;-;-;-;2;-;25;-;-;2;2;2;-;190
"150690 Santarém Novo";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"150700 Santo Antônio do Tauá";-;-;-;-;8;-;1;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;14
"150710 São Caetano de Odivelas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;8
"150715 São Domingos do Araguaia";-;-;1;-;3;-;-;-;-;-;-;2;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;14
"150720 São Domingos do Capim";-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;13
"150730 São Félix do Xingu";1;-;1;-;12;1;1;3;-;-;-;3;-;-;-;10;-;-;-;-;-;2;1;-;-;-;-;-;35
"150740 São Francisco do Pará";1;-;-;-;9;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;15
"150745 São Geraldo do Araguaia";-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;7;-;-;-;2;-;-;1;-;-;-;-;-;16
"150746 São João da Ponta";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;10
"150750 São João do Araguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;1;-;-;-;1;-;-;-;-;12
"150760 São Miguel do Guamá";1;-;1;-;-;1;5;-;-;1;-;2;-;-;-;23;-;-;-;1;-;-;1;-;-;-;-;-;36
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;11
"150775 Sapucaia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;5
"150780 Senador José Porfírio";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;1;-;-;-;-;9
"150790 Soure";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;10
"150795 Tailândia";-;-;-;-;2;-;2;-;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;9
"150796 Terra Alta";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"150797 Terra Santa";-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;9;-;-;-;1;-;-;1;-;-;-;-;-;14
"150800 Tomé-Açu";-;-;-;-;6;-;1;-;-;-;-;2;-;-;-;3;-;-;-;1;-;1;1;-;-;-;1;-;16
"150803 Tracuateua";-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;1;1;-;-;-;-;18
"150805 Trairão";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;9
"150808 Tucumã";-;-;1;-;8;1;4;6;-;-;-;2;-;-;-;8;-;-;-;-;-;3;1;1;-;-;1;-;36
"150810 Tucuruí";-;1;1;-;19;1;10;2;-;-;-;5;-;-;2;1;-;-;-;1;1;10;2;-;1;-;-;-;57
"150812 Ulianópolis";-;-;1;-;4;-;1;-;-;-;-;2;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;12
"150815 Uruará";1;-;-;-;2;2;-;1;-;-;-;-;-;-;-;6;-;-;-;-;-;1;1;1;-;-;-;-;15
"150820 Vigia";-;-;-;-;9;-;-;2;-;-;-;1;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;21
"150830 Viseu";-;-;-;-;1;-;1;-;-;1;-;1;-;-;-;13;-;-;-;1;-;-;-;-;-;-;-;-;18
"150835 Vitória do Xingu";1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;8
"150840 Xinguara";1;1;1;-;9;1;4;2;-;-;-;2;-;-;-;-;-;-;-;1;-;2;1;1;-;-;-;-;26
"160010 Amapá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;1;1;-;-;-;-;11
"160020 Calçoene";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;7
"160021 Cutias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;4
"160023 Ferreira Gomes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"160025 Itaubal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;12
"160027 Laranjal do Jari";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;2;1;-;-;-;-;-;13
"160030 Macapá";-;-;2;-;17;1;32;65;-;1;5;5;-;1;1;35;-;-;1;1;-;26;2;-;-;-;1;-;196
"160040 Mazagão";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;1;-;1;-;-;-;-;36
"160050 Oiapoque";-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;28
"160015 Pedra Branca do Amapari";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;12
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;6
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;4
"160060 Santana";-;-;2;-;11;-;2;5;-;-;-;2;-;-;-;7;-;-;-;-;-;4;2;-;-;-;-;-;35
"160005 Serra do Navio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;5
"160070 Tartarugalzinho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;1;-;-;-;-;16
"160080 Vitória do Jari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;9
"170025 Abreulândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"170030 Aguiarnópolis";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;5
"170035 Aliança do Tocantins";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"170040 Almas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"170070 Alvorada";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"170100 Ananás";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"170105 Angico";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"170130 Aragominas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170190 Araguacema";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"170200 Araguaçu";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"170210 Araguaína";-;1;1;-;18;1;15;61;-;3;2;4;-;-;-;-;-;-;-;1;-;15;3;-;1;-;1;-;127
"170215 Araguanã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"170220 Araguatins";-;-;1;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;10
"170230 Arapoema";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"170240 Arraias";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"170255 Augustinópolis";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;9
"170270 Aurora do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170290 Axixá do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170300 Babaçulândia";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"170305 Bandeirantes do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170310 Barrolândia";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"170320 Bernardo Sayão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"170330 Bom Jesus do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170360 Brasilândia do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"170370 Brejinho de Nazaré";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"170380 Buriti do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
