CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"350550 Barretos";-;-;-;1;-;16;-;18;155;-;2;2;2;1;-;4;-;-;-;-;2;-;7;-;-;1;-;-;-;211
"350560 Barrinha";-;-;-;-;-;4;-;1;3;-;-;-;-;-;-;3;-;-;-;-;1;-;2;-;1;-;-;-;-;15
"350570 Barueri";-;-;-;3;-;17;-;53;76;-;-;-;3;-;-;7;-;-;2;3;1;-;12;-;-;-;-;-;-;177
"350580 Bastos";-;-;-;-;-;1;1;4;4;-;-;-;1;-;-;-;5;-;-;1;1;-;3;-;-;-;-;-;-;21
"350590 Batatais";-;-;-;1;-;8;-;9;156;-;1;-;1;-;-;3;-;-;-;1;1;-;10;-;-;-;-;-;-;191
"350600 Bauru";-;-;-;3;-;24;1;69;413;-;1;3;7;1;1;15;-;2;-;1;2;-;28;-;-;1;-;1;-;573
"350610 Bebedouro";-;-;-;2;-;16;1;44;99;-;1;-;3;-;-;8;-;-;-;-;1;-;11;-;-;-;-;-;-;186
"350620 Bento de Abreu";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"350635 Bertioga";-;-;-;1;-;5;-;8;5;-;-;-;1;-;-;1;-;-;-;-;1;-;5;1;-;-;-;1;-;29
"350640 Bilac";-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;10;-;20;74;-;1;1;2;-;-;2;-;-;-;-;1;-;10;-;-;-;-;-;-;121
"350660 Biritiba-Mirim";-;-;-;-;-;6;1;2;9;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;20
"350670 Boa Esperança do Sul";-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;14
"350680 Bocaina";-;-;-;-;-;4;-;2;5;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;14
"350690 Bofete";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;6;-;12;39;-;1;-;1;-;-;1;1;-;-;-;1;-;4;-;-;-;-;1;-;67
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;1;-;-;-;-;14
"350715 Bom Sucesso de Itararé";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350720 Borá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;-;5;-;4;13;-;-;-;1;-;-;2;-;-;-;1;1;-;2;-;-;-;-;-;-;29
"350745 Borebi";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;-;-;3;-;13;1;19;392;-;1;1;2;-;-;3;-;1;-;-;1;-;6;1;-;1;-;1;-;446
"350760 Bragança Paulista";-;2;-;2;-;25;1;80;137;-;1;-;3;1;-;1;4;-;-;1;1;-;17;1;-;1;-;2;-;280
"350770 Braúna";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"350775 Brejo Alegre";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;3;-;1;25;-;-;-;-;-;-;2;-;1;-;-;1;-;4;-;-;-;-;-;-;37
"350790 Brotas";-;-;-;-;-;4;-;3;26;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;38
"350800 Buri";-;-;-;1;-;3;-;-;2;-;-;-;-;-;-;-;3;-;-;1;1;-;1;-;-;-;-;-;-;12
"350810 Buritama";1;-;-;1;-;2;-;3;1;-;1;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;14
"350820 Buritizal";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"350830 Cabrália Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;2;-;1;-;-;1;-;3;-;-;-;-;-;-;15
"350850 Caçapava";-;1;-;1;-;15;-;7;183;-;-;1;3;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;217
"350860 Cachoeira Paulista";-;-;-;-;-;10;-;3;27;-;1;-;1;-;-;3;-;-;-;1;1;-;2;-;-;-;-;-;-;49
"350870 Caconde";-;-;-;-;-;2;-;3;18;-;1;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;32
"350890 Caiabu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"350900 Caieiras";-;-;-;-;-;6;-;14;8;-;-;-;1;-;-;4;5;-;-;-;-;-;2;2;1;-;-;-;-;43
"350910 Caiuá";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;-;9;-;5;17;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;-;1;-;37
"350925 Cajati";-;-;-;-;-;5;-;3;14;-;-;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;28
"350930 Cajobi";-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;9
"350940 Cajuru";-;-;-;-;-;6;-;5;19;-;-;-;1;-;-;4;-;1;-;-;1;-;2;-;-;-;-;-;-;39
"350945 Campina do Monte Alegre";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350950 Campinas";-;-;-;10;-;64;1;334;1363;1;4;6;19;8;1;46;5;3;-;1;7;-;99;-;-;1;-;-;-;1973
"350960 Campo Limpo Paulista";-;-;-;-;-;7;-;11;7;1;-;-;1;-;-;7;-;-;-;-;1;-;4;1;-;-;-;-;-;40
"350970 Campos do Jordão";-;-;-;1;-;3;-;3;23;-;-;-;3;-;-;1;10;-;-;1;1;-;3;-;-;-;-;-;-;49
"350980 Campos Novos Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;1;-;6;-;2;36;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;52
"351010 Cândido Rodrigues";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;-;-;1;-;11;-;6;18;-;-;-;1;-;-;2;-;-;-;-;1;-;3;-;-;-;-;-;-;43
"351030 Capela do Alto";-;-;-;-;-;3;-;1;3;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;11
"351040 Capivari";-;-;-;2;-;4;-;22;95;-;-;-;2;-;-;3;3;-;-;-;1;-;11;-;-;-;-;-;-;143
"351050 Caraguatatuba";-;-;-;1;-;11;-;17;67;-;-;-;2;2;-;4;1;-;-;-;1;-;10;1;-;1;-;-;-;118
"351060 Carapicuíba";-;-;-;3;-;12;-;14;23;-;-;-;1;-;-;7;-;-;-;2;-;-;6;2;1;1;-;1;-;73
"351070 Cardoso";-;-;-;-;-;5;-;-;7;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;17
"351080 Casa Branca";-;-;-;1;-;6;1;5;39;-;-;1;1;-;-;-;-;-;-;1;1;-;10;-;-;-;-;-;-;66
"351090 Cássia dos Coqueiros";1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;13
"351110 Catanduva";-;-;-;-;-;22;-;73;190;-;2;2;3;1;-;2;-;-;-;-;1;-;17;-;-;1;-;-;-;314
"351120 Catiguá";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"351130 Cedral";-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"351140 Cerqueira César";-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;17
"351150 Cerquilho";-;-;-;-;-;6;-;9;98;-;-;-;1;-;-;11;-;-;-;-;1;-;6;-;-;-;-;-;-;132
"351160 Cesário Lange";-;-;-;-;-;4;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;13
"351170 Charqueada";-;-;-;-;-;4;-;2;8;-;-;-;1;-;-;3;-;-;-;-;1;-;1;-;-;-;-;-;-;20
"355720 Chavantes";-;-;-;-;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;16
"351190 Clementina";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;5;-;13;23;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;45
"351210 Colômbia";-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;11
"351220 Conchal";-;-;-;-;-;6;-;3;29;-;-;-;1;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;-;44
"351230 Conchas";-;-;-;-;-;5;-;2;27;-;1;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;-;42
"351240 Cordeirópolis";-;-;-;-;-;4;-;3;8;-;-;-;-;-;-;2;1;1;-;-;1;-;4;-;-;-;-;-;-;24
"351250 Coroados";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"351270 Corumbataí";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4
"351280 Cosmópolis";-;-;-;2;-;11;1;6;38;-;-;-;1;-;-;6;-;-;-;-;1;-;6;1;-;-;-;-;-;73
"351290 Cosmorama";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;5
"351300 Cotia";-;-;-;1;-;21;1;25;20;-;1;1;2;-;-;9;1;-;-;3;-;-;4;2;-;-;-;1;-;92
"351310 Cravinhos";-;-;-;-;-;3;-;2;20;-;-;-;1;-;-;1;-;-;-;1;1;-;2;-;-;-;-;-;-;31
"351320 Cristais Paulista";-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351340 Cruzeiro";-;-;-;1;-;12;-;51;145;-;1;-;1;1;-;5;4;1;-;-;1;-;17;1;-;1;-;-;-;242
"351350 Cubatão";-;-;-;2;-;13;-;14;98;-;-;-;2;-;-;2;-;-;2;1;-;-;18;1;-;1;-;-;-;154
"351360 Cunha";-;-;-;1;-;6;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;17
"351370 Descalvado";-;-;-;1;-;9;1;11;54;-;-;-;1;-;-;1;-;1;-;-;-;-;3;1;-;-;-;-;-;83
"351380 Diadema";-;-;-;5;-;21;1;23;54;-;-;-;4;2;-;13;-;-;-;2;1;-;9;2;-;1;-;-;-;138
"351385 Dirce Reis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;1;-;2;11;-;-;-;1;-;-;1;3;-;-;-;1;-;1;-;-;-;-;-;-;21
"351400 Dobrada";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351410 Dois Córregos";-;-;-;-;-;4;-;5;20;-;-;-;1;-;-;-;1;-;-;-;-;-;3;1;-;-;-;-;-;35
"351420 Dolcinópolis";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;1;1;-;2;-;-;-;-;-;-;12
"351440 Dracena";-;-;-;1;-;8;-;11;121;-;-;-;1;-;-;2;-;-;-;-;1;-;8;1;-;-;-;-;-;154
"351450 Duartina";-;-;-;-;-;4;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;-;33
"351460 Dumont";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351470 Echaporã";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"351480 Eldorado";-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"351492 Elisiário";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351500 Embu das Artes";-;-;-;2;-;13;-;6;7;-;-;-;2;-;-;3;-;-;-;-;1;-;1;-;-;1;-;-;-;36
"351510 Embu-Guaçu";-;-;-;1;-;6;1;2;1;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;1;-;-;-;-;17
"351512 Emilianópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;9
"351518 Espírito Santo do Pinhal";-;-;-;1;-;5;1;9;99;-;-;2;1;-;-;-;-;-;-;-;1;-;6;-;-;-;-;-;-;125
"351519 Espírito Santo do Turvo";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;10
"351520 Estrela d'Oeste";-;-;-;-;-;2;-;1;11;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 Euclides da Cunha Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;5
"351540 Fartura";-;-;-;-;-;2;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;28
"351560 Fernando Prestes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"351550 Fernandópolis";-;-;-;1;-;17;-;19;175;1;1;-;2;-;-;4;1;-;-;-;1;-;21;-;-;1;-;1;-;245
"351565 Fernão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;-;13;-;9;4;-;-;-;1;-;-;-;-;-;-;-;1;-;4;2;-;1;-;-;-;35
"351580 Flora Rica";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351590 Floreal";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"351600 Flórida Paulista";-;-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;3;-;-;-;-;-;-;13
"351610 Florínia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351620 Franca";-;-;1;1;-;23;1;137;396;-;2;3;3;-;-;4;-;2;-;-;2;-;21;3;-;2;-;1;-;602
"351630 Francisco Morato";-;-;-;1;-;12;-;5;16;-;1;-;2;-;-;2;-;-;-;-;1;-;2;-;-;-;-;1;-;43
"351640 Franco da Rocha";-;-;-;-;-;11;1;8;27;-;2;2;3;-;-;-;-;1;-;-;1;-;5;6;-;-;-;-;-;67
"351650 Gabriel Monteiro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;11
"351670 Garça";1;-;-;2;-;11;-;5;29;-;-;2;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;54
"351680 Gastão Vidigal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;1;-;3;5;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;15
"351700 Getulina";-;-;-;-;-;3;-;-;10;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;15
"351710 Glicério";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;4
"351740 Guaíra";-;-;-;-;-;10;-;5;36;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;57
"351750 Guapiaçu";-;-;-;1;-;7;-;4;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8;-;-;1;1;-;1;-;-;-;-;-;-;12
"351770 Guará";1;-;-;1;-;5;1;4;15;-;-;-;1;-;-;-;1;-;-;-;1;-;2;1;-;-;-;-;-;33
"351780 Guaraçaí";-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;13
"351790 Guaraci";-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;4
"351820 Guararapes";-;-;-;-;-;4;-;-;25;-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;34
"351830 Guararema";-;-;-;-;-;2;-;1;8;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;14
"351840 Guaratinguetá";-;-;-;1;-;9;1;13;159;-;1;-;2;1;-;10;5;-;-;1;1;-;10;1;-;1;-;1;-;217
"351850 Guareí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351860 Guariba";-;-;-;-;-;3;-;8;10;-;-;-;1;-;-;4;-;-;-;-;1;-;4;-;-;-;-;-;-;31
"351870 Guarujá";-;-;-;3;-;26;1;29;153;-;2;1;2;3;-;3;-;-;-;6;-;-;18;1;-;1;-;-;-;249
"351880 Guarulhos";1;-;-;7;-;72;-;145;253;-;1;3;9;1;-;29;1;1;-;5;1;-;52;1;-;1;-;-;-;583
"351885 Guatapará";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"351890 Guzolândia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;-;3;-;2;6;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;13
"351907 Hortolândia";-;-;-;1;-;22;-;12;36;-;3;-;1;1;-;6;-;-;-;1;1;-;6;1;-;1;-;2;-;94
"351910 Iacanga";-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;10
"351920 Iacri";-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;-;8;-;1;11;-;-;-;1;-;-;-;-;-;-;-;1;-;4;1;-;-;-;-;-;27
"351940 Ibirá";-;-;-;-;-;3;-;3;1;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;12
"351950 Ibirarema";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"351960 Ibitinga";-;-;-;-;-;6;-;2;83;-;-;-;2;-;-;1;1;-;-;2;1;-;7;-;-;-;-;-;-;105
"351970 Ibiúna";-;-;-;-;-;16;-;4;11;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;35
"351980 Icém";-;-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;10
"351990 Iepê";-;-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;9
"352000 Igaraçu do Tietê";-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"352010 Igarapava";-;-;-;-;-;5;-;1;34;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;47
"352020 Igaratá";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4
"352030 Iguape";-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;5;-;-;-;1;-;1;-;1;-;-;-;-;16
"352042 Ilha Comprida";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;-;11;-;5;53;-;-;-;1;-;-;2;-;-;-;-;1;-;2;-;-;-;-;-;-;75
"352040 Ilhabela";-;-;-;1;-;8;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;17
"352050 Indaiatuba";-;-;-;3;-;4;-;29;205;-;-;1;2;4;-;18;8;-;-;1;1;-;22;2;-;1;-;1;-;302
"352060 Indiana";-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;7
"352070 Indiaporã";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;13
"352100 Iperó";-;-;-;1;-;5;-;-;10;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;18
"352110 Ipeúna";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;-;4;-;-;20;-;-;-;1;-;-;-;1;-;-;1;1;-;2;-;-;-;-;-;-;30
"352140 Iracemápolis";-;-;-;-;-;3;-;2;9;-;-;-;-;-;-;1;1;-;-;1;1;-;1;-;-;-;-;-;-;19
