CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"110001 Alta Floresta D'Oeste";1;1;4;2;6;11;2;-;-;2;1;3;-;2;-;-;-;4;2;41
"110037 Alto Alegre dos Parecis";-;-;1;-;5;5;2;1;-;2;1;3;-;2;-;-;-;-;1;23
"110040 Alto Paraíso";-;-;1;-;4;6;1;-;-;-;-;1;-;1;-;-;-;-;1;15
"110034 Alvorada D'Oeste";1;1;3;-;2;8;3;-;-;-;-;2;-;-;-;-;-;-;1;21
"110002 Ariquemes";8;2;17;14;42;40;16;4;8;8;5;24;6;9;2;3;-;26;10;244
"110045 Buritis";-;-;6;2;3;9;2;-;-;1;1;7;-;1;-;-;-;-;2;34
"110003 Cabixi";1;-;1;1;2;3;-;-;-;-;-;1;-;-;-;-;-;-;1;10
"110060 Cacaulândia";-;-;1;-;4;4;1;-;-;-;-;2;-;1;-;-;-;-;-;13
"110004 Cacoal";8;17;29;10;50;85;44;3;7;5;15;53;8;15;1;6;-;43;20;419
"110070 Campo Novo de Rondônia";-;-;1;-;1;9;-;-;-;-;-;1;-;-;-;-;-;-;-;12
"110080 Candeias do Jamari";-;-;-;-;2;6;-;-;-;2;-;8;1;-;-;1;-;-;1;21
"110090 Castanheiras";-;-;1;-;1;2;1;-;-;-;-;2;-;-;-;-;-;-;-;7
"110005 Cerejeiras";1;1;4;-;6;6;1;1;-;2;-;5;-;2;-;-;-;2;1;32
"110092 Chupinguaia";-;-;1;-;3;2;1;-;-;-;-;-;-;-;-;-;-;-;1;8
"110006 Colorado do Oeste";1;1;5;1;7;7;2;-;-;2;-;3;-;1;-;-;-;2;2;34
"110007 Corumbiara";-;-;1;-;1;6;-;-;-;-;-;3;-;-;-;-;-;-;-;11
"110008 Costa Marques";-;-;2;1;2;4;1;-;-;2;-;2;-;1;-;-;-;-;1;16
"110094 Cujubim";-;-;1;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"110009 Espigão D'Oeste";-;-;5;1;7;14;3;-;-;1;-;6;-;-;-;-;-;1;1;39
"110100 Governador Jorge Teixeira";-;1;1;-;3;3;-;-;-;-;-;4;-;-;-;-;-;-;-;12
"110010 Guajará-Mirim";1;3;6;5;11;13;4;1;-;4;3;6;2;2;1;-;-;1;5;68
"110110 Itapuã do Oeste";-;-;1;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110011 Jaru";1;2;9;2;18;19;6;2;2;3;-;25;-;4;-;1;-;6;4;104
"110012 Ji-Paraná";5;5;18;9;22;39;23;7;8;6;4;45;6;11;-;3;-;30;14;255
"110013 Machadinho D'Oeste";-;1;3;1;2;7;1;1;1;5;1;6;-;-;-;-;-;-;2;31
"110120 Ministro Andreazza";-;-;3;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;9
"110130 Mirante da Serra";-;-;3;1;3;5;-;-;-;-;-;3;1;-;-;-;-;-;1;17
"110140 Monte Negro";-;-;-;-;1;8;1;-;-;2;1;2;-;1;-;-;-;-;4;20
"110014 Nova Brasilândia D'Oeste";-;1;1;1;4;5;3;-;-;-;-;5;-;1;-;-;-;-;3;24
"110033 Nova Mamoré";1;-;-;1;4;7;3;1;-;1;1;1;-;1;-;-;-;-;4;25
"110143 Nova União";-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"110050 Novo Horizonte do Oeste";-;-;1;-;3;6;1;-;-;-;-;2;-;-;-;-;-;-;-;13
"110015 Ouro Preto do Oeste";9;1;6;1;7;14;5;-;4;3;1;12;1;2;-;1;-;4;4;75
"110145 Parecis";-;-;1;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"110018 Pimenta Bueno";-;2;7;1;6;11;3;1;1;1;1;9;2;1;-;1;-;-;2;49
"110146 Pimenteiras do Oeste";-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;4
"110020 Porto Velho";37;48;97;68;160;321;83;41;48;60;39;186;48;83;8;26;-;188;83;1624
"110025 Presidente Médici";-;2;4;-;6;9;1;-;-;1;1;5;-;-;-;-;-;-;3;32
"110147 Primavera de Rondônia";-;-;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"110026 Rio Crespo";-;-;1;-;2;1;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"110028 Rolim de Moura";2;1;8;2;7;18;6;1;2;2;1;10;2;4;-;4;-;4;5;79
"110029 Santa Luzia D'Oeste";-;-;2;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"110148 São Felipe D'Oeste";-;-;1;-;1;2;-;-;-;2;1;-;-;-;-;-;-;-;1;8
"110149 São Francisco do Guaporé";-;-;3;-;-;6;1;-;-;-;-;4;-;-;-;-;-;-;1;15
"110032 São Miguel do Guaporé";1;1;3;4;4;5;2;-;-;1;1;3;-;2;-;-;-;-;1;28
"110150 Seringueiras";-;1;-;1;1;2;1;-;-;-;-;3;-;1;-;-;-;-;1;11
"110155 Teixeirópolis";-;-;1;-;1;2;-;-;-;-;-;2;-;-;-;-;-;-;1;7
"110160 Theobroma";-;-;2;-;2;5;1;-;-;-;1;-;-;-;-;-;-;-;-;11
"110170 Urupá";-;-;-;-;1;3;1;-;-;2;-;-;-;-;-;-;-;1;1;9
"110175 Vale do Anari";-;-;1;-;2;2;-;-;-;-;-;2;-;-;-;-;-;-;-;7
"110180 Vale do Paraíso";-;-;2;-;1;5;-;-;-;2;-;1;-;-;-;-;-;-;-;11
"110030 Vilhena";1;2;14;2;17;35;16;5;7;7;4;55;7;8;-;4;-;23;10;217
"120001 Acrelândia";-;1;-;-;4;8;1;-;-;1;1;4;1;-;-;-;-;-;1;22
"120005 Assis Brasil";-;-;2;-;3;8;1;-;-;2;-;2;-;-;-;-;-;-;-;18
"120010 Brasiléia";1;-;8;2;13;29;2;-;-;6;-;10;-;1;-;-;-;1;7;80
"120013 Bujari";-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"120017 Capixaba";-;-;-;-;1;5;-;-;-;2;-;2;-;-;-;-;-;-;1;11
"120020 Cruzeiro do Sul";5;4;7;9;43;74;8;4;3;7;4;19;-;4;-;2;-;6;7;206
"120025 Epitaciolândia";-;-;-;-;-;8;1;-;1;4;-;6;-;1;-;-;-;-;1;22
"120030 Feijó";-;-;2;1;4;7;-;-;1;2;-;4;-;-;-;-;-;-;1;22
"120032 Jordão";-;-;-;-;3;8;-;-;-;1;-;2;-;-;-;-;-;-;-;14
"120033 Mâncio Lima";-;-;-;-;1;7;-;-;-;5;-;3;-;-;-;-;-;-;-;16
"120034 Manoel Urbano";-;-;-;-;2;7;-;-;-;2;-;4;-;-;-;-;-;-;1;16
"120035 Marechal Thaumaturgo";-;-;-;-;1;8;-;-;-;4;-;2;-;-;-;-;-;-;-;15
"120038 Plácido de Castro";-;2;3;-;8;15;2;-;-;2;1;11;-;1;-;-;-;-;2;47
"120080 Porto Acre";-;-;-;-;-;7;-;-;-;6;-;2;-;-;-;-;-;-;1;16
"120039 Porto Walter";-;-;-;-;1;4;-;-;-;1;-;2;-;-;-;-;-;-;-;8
"120040 Rio Branco";34;39;67;48;221;357;104;30;6;13;38;165;33;48;5;8;-;140;85;1441
"120042 Rodrigues Alves";-;-;-;-;1;6;-;-;-;1;-;1;-;-;-;-;-;-;-;9
"120043 Santa Rosa do Purus";-;-;-;-;3;3;-;-;-;1;-;3;-;-;-;-;-;-;-;10
"120050 Sena Madureira";5;1;3;1;2;16;1;-;-;6;1;11;-;-;-;-;-;-;1;48
"120045 Senador Guiomard";-;-;-;-;3;11;1;-;-;3;-;3;-;-;-;-;-;-;1;22
"120060 Tarauacá";-;-;3;-;8;16;-;-;-;5;-;9;-;-;-;-;-;-;1;42
"120070 Xapuri";-;-;1;-;5;12;1;-;-;6;-;3;-;-;-;-;-;-;2;30
"130002 Alvarães";2;1;1;2;1;7;1;-;-;2;-;2;-;1;-;-;-;-;1;21
"130006 Amaturá";-;-;1;1;-;5;-;-;-;2;-;2;-;-;-;-;-;-;-;11
"130008 Anamã";1;-;1;1;-;8;-;-;-;-;-;4;-;-;-;-;-;-;-;15
"130010 Anori";-;-;1;1;1;7;-;-;-;3;-;4;-;-;-;-;-;-;-;17
"130014 Apuí";-;-;3;3;-;8;2;-;-;2;1;4;-;1;-;-;-;-;-;24
"130020 Atalaia do Norte";-;-;1;1;1;5;-;-;-;2;-;2;-;-;-;-;-;-;-;12
"130030 Autazes";-;4;3;1;2;18;2;3;-;10;1;10;-;3;1;-;-;-;3;61
"130040 Barcelos";1;-;3;-;1;7;-;-;-;-;-;3;-;-;-;-;-;-;-;15
"130050 Barreirinha";-;-;1;-;3;9;2;-;-;-;-;3;-;-;-;-;-;-;1;19
"130060 Benjamin Constant";-;1;1;-;1;12;-;-;1;3;-;5;-;-;-;-;-;-;1;25
"130063 Beruri";-;-;1;-;3;6;-;-;-;2;-;1;-;-;-;-;-;-;-;13
"130068 Boa Vista do Ramos";1;-;1;1;2;8;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"130070 Boca do Acre";2;1;2;3;3;11;2;1;1;4;-;13;-;-;-;-;-;-;3;46
"130080 Borba";1;3;3;1;3;16;1;-;-;6;1;13;-;1;1;-;-;-;3;53
"130083 Caapiranga";2;1;2;-;1;5;-;-;-;3;-;3;-;-;-;-;-;-;-;17
"130090 Canutama";-;-;1;-;1;6;-;-;-;2;-;1;-;-;-;-;-;-;-;11
"130100 Carauari";-;-;1;1;2;7;2;-;-;1;-;3;-;-;-;-;-;-;-;17
"130110 Careiro";-;-;1;1;2;18;-;-;-;8;-;3;-;-;-;-;-;-;1;34
"130115 Careiro da Várzea";-;1;1;-;1;6;2;-;1;3;1;3;2;1;-;-;-;-;-;22
"130120 Coari";1;2;7;1;13;40;4;1;2;9;1;12;1;3;-;-;-;3;2;102
"130130 Codajás";-;-;2;1;1;8;1;-;-;2;-;6;-;-;-;-;-;-;-;21
"130140 Eirunepé";1;2;4;1;4;12;1;-;-;3;3;4;-;1;-;-;-;-;1;37
"130150 Envira";-;-;1;2;2;7;-;-;1;1;2;2;-;2;-;-;-;-;-;20
"130160 Fonte Boa";-;1;1;1;-;12;-;-;-;6;-;9;-;1;-;-;-;-;1;32
"130165 Guajará";-;-;1;1;4;10;-;-;1;5;-;5;-;-;-;-;-;-;-;27
"130170 Humaitá";1;2;6;2;5;17;5;1;2;8;2;13;1;3;-;1;-;1;2;72
"130180 Ipixuna";-;-;1;3;-;5;-;-;-;2;-;2;-;-;-;-;-;-;-;13
"130185 Iranduba";2;8;4;4;8;27;3;2;1;18;2;18;1;4;1;1;-;1;2;107
"130190 Itacoatiara";3;6;6;12;19;60;9;1;4;14;2;33;3;8;-;1;-;3;-;184
"130195 Itamarati";-;-;-;1;1;4;-;-;-;1;-;1;-;-;-;-;-;-;-;8
"130200 Itapiranga";-;-;2;1;1;8;1;-;-;3;-;2;-;-;-;-;-;-;-;18
"130210 Japurá";-;-;1;-;-;5;-;-;-;2;-;3;-;-;-;-;-;-;-;11
"130220 Juruá";-;-;1;1;1;6;-;-;-;1;-;3;-;-;-;-;-;-;-;13
"130230 Jutaí";-;-;1;-;-;6;-;-;-;3;-;2;-;-;-;-;1;-;-;13
"130240 Lábrea";-;1;2;1;3;13;1;1;-;7;1;10;-;1;-;-;-;-;-;41
"130250 Manacapuru";2;5;8;1;11;43;6;3;2;27;2;22;1;7;-;1;-;1;2;144
"130255 Manaquiri";-;1;1;1;4;10;-;-;-;1;1;3;-;-;-;-;-;-;1;23
"130260 Manaus";166;318;507;201;572;1019;203;75;232;121;67;717;326;174;17;73;1;795;50;5634
"130270 Manicoré";-;4;2;1;2;12;1;-;-;5;2;7;-;1;-;-;-;-;1;38
"130280 Maraã";-;-;2;-;1;4;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"130290 Maués";1;3;5;-;12;20;4;2;-;2;2;13;-;2;-;-;-;-;-;66
"130300 Nhamundá";-;-;1;-;2;9;1;-;-;-;-;3;-;-;-;-;-;-;-;16
"130310 Nova Olinda do Norte";1;1;2;2;2;12;2;1;-;3;2;6;-;2;-;-;-;-;-;36
"130320 Novo Airão";-;1;1;1;-;6;2;-;-;1;-;2;-;-;-;-;-;-;-;14
"130330 Novo Aripuanã";-;-;2;-;1;10;1;-;-;1;-;3;-;-;-;-;-;-;-;18
"130340 Parintins";1;11;6;3;15;45;8;2;2;17;3;21;1;4;1;1;-;5;7;153
"130350 Pauini";-;-;1;1;1;4;1;-;-;-;-;2;-;-;-;-;-;-;-;10
"130353 Presidente Figueiredo";-;3;5;1;10;18;4;-;1;6;1;11;-;1;-;-;-;3;-;64
"130356 Rio Preto da Eva";-;6;4;1;6;19;3;1;-;10;2;12;1;2;-;1;-;1;-;69
"130360 Santa Isabel do Rio Negro";1;-;2;-;1;6;-;-;-;1;-;4;-;-;-;-;-;-;-;15
"130370 Santo Antônio do Içá";1;-;1;-;1;8;-;-;-;1;-;2;-;1;-;-;-;-;-;15
"130380 São Gabriel da Cachoeira";2;2;21;2;14;17;6;1;3;2;2;36;2;1;-;1;-;4;2;118
"130390 São Paulo de Olivença";1;-;1;1;1;7;-;-;-;-;-;3;-;-;-;-;-;-;-;14
"130395 São Sebastião do Uatumã";-;-;2;1;-;8;-;-;1;3;-;4;-;-;-;-;-;-;-;19
"130400 Silves";-;-;-;-;1;7;-;-;-;3;-;4;-;-;-;-;-;-;-;15
"130406 Tabatinga";2;2;14;4;19;18;2;1;3;8;-;16;-;1;-;-;-;2;1;93
"130410 Tapauá";-;-;2;1;2;8;-;-;-;4;-;7;-;-;-;-;-;-;-;24
"130420 Tefé";1;3;8;2;10;42;5;-;1;12;-;15;-;5;2;1;-;4;2;113
"130423 Tonantins";-;-;1;1;-;10;-;-;-;8;-;3;-;-;-;-;-;-;-;23
"130426 Uarini";1;-;1;-;1;5;-;-;-;1;-;1;-;-;-;-;-;-;-;10
"130430 Urucará";-;1;2;1;1;10;-;-;-;4;-;8;-;-;-;-;-;-;-;27
"130440 Urucurituba";-;-;-;1;1;8;-;-;1;3;-;5;-;-;-;-;-;-;-;19
"140005 Alto Alegre";-;1;2;-;4;9;2;-;1;1;1;7;-;-;-;-;-;1;-;29
"140002 Amajari";-;1;2;-;1;5;1;-;-;1;-;2;-;-;-;-;-;-;-;13
"140010 Boa Vista";23;43;121;78;210;228;85;18;35;21;27;126;23;48;5;12;1;81;56;1241
"140015 Bonfim";-;-;3;-;2;7;1;-;1;2;1;8;1;1;-;-;-;-;-;27
"140017 Cantá";-;-;1;-;-;5;-;-;-;3;-;4;-;-;-;-;-;-;-;13
"140020 Caracaraí";-;2;3;1;4;10;2;-;-;1;-;6;-;2;-;-;-;-;-;31
"140023 Caroebe";-;-;1;1;-;5;1;-;-;1;-;2;-;-;-;-;-;-;-;11
"140028 Iracema";-;-;1;-;1;4;-;-;-;2;1;1;-;-;-;-;-;-;1;11
"140030 Mucajaí";-;1;1;-;6;7;-;-;-;-;1;5;-;-;-;-;-;-;-;21
"140040 Normandia";-;-;3;-;3;5;-;-;-;-;-;4;-;-;-;-;-;-;-;15
"140045 Pacaraima";1;-;2;-;4;7;2;-;-;-;1;4;-;2;-;-;-;1;1;25
"140047 Rorainópolis";-;-;3;-;5;9;1;-;-;1;-;3;-;-;-;-;-;-;-;22
"140050 São João da Baliza";-;-;2;-;2;3;1;-;-;-;-;1;-;-;-;-;-;-;-;9
"140060 São Luiz";-;-;2;1;-;5;-;-;-;1;-;4;-;-;-;-;-;-;-;13
"140070 Uiramutã";-;-;-;-;2;5;-;-;-;4;-;3;-;-;-;-;-;-;-;14
"150010 Abaetetuba";-;7;13;9;27;53;3;1;2;4;3;26;5;6;2;1;-;16;15;193
"150013 Abel Figueiredo";1;-;2;-;1;5;1;-;-;-;1;2;-;-;-;-;-;-;1;14
"150020 Acará";2;-;-;2;3;12;1;1;-;1;1;6;-;-;-;-;-;-;2;31
"150030 Afuá";-;1;1;1;5;6;-;-;-;-;1;5;-;-;-;-;-;-;1;21
"150034 Água Azul do Norte";-;2;3;3;4;9;2;1;-;-;-;7;-;2;-;-;-;3;1;37
"150040 Alenquer";7;1;4;-;2;11;2;-;1;-;1;5;1;1;-;-;-;-;-;36
"150050 Almeirim";4;-;3;1;8;14;3;-;-;1;1;4;1;1;-;-;-;-;-;41
"150060 Altamira";6;7;17;8;24;72;6;2;2;1;5;26;6;8;-;3;-;19;8;220
"150070 Anajás";-;-;-;1;1;7;-;-;-;1;-;2;-;-;-;-;-;-;2;14
"150080 Ananindeua";15;28;41;36;119;150;38;22;16;46;13;77;43;30;4;23;-;132;31;864
"150085 Anapu";2;-;2;-;1;6;-;-;-;2;-;4;-;-;-;-;-;-;-;17
"150090 Augusto Corrêa";-;1;1;3;3;11;2;1;-;3;1;4;-;1;-;-;-;-;1;32
"150095 Aurora do Pará";-;1;2;2;3;7;-;-;1;1;1;1;1;1;-;-;-;-;3;24
"150100 Aveiro";-;-;-;-;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"150110 Bagre";-;-;-;-;-;3;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"150120 Baião";-;1;1;5;1;9;1;1;-;1;2;6;-;1;-;-;-;-;2;31
"150125 Bannach";-;1;-;-;1;4;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"150130 Barcarena";5;6;9;8;33;29;7;3;5;3;3;24;5;6;-;2;-;12;8;168
"150140 Belém";176;293;311;152;689;944;293;144;201;68;192;718;213;306;29;70;7;892;282;5980
"150145 Belterra";-;-;-;-;2;10;-;-;-;1;-;4;-;-;-;-;-;-;1;18
"150150 Benevides";-;4;3;2;4;23;1;1;1;8;4;13;-;3;1;-;-;-;3;71
"150157 Bom Jesus do Tocantins";1;1;1;1;1;6;1;-;-;2;1;2;-;-;-;-;-;-;-;17
"150160 Bonito";-;-;-;-;1;4;2;-;-;2;-;1;-;-;-;-;-;-;1;11
"150170 Bragança";1;7;7;21;20;43;6;5;-;2;5;15;2;7;1;1;-;3;15;161
"150172 Brasil Novo";2;1;1;-;-;7;1;-;-;-;-;5;-;1;-;-;-;-;1;19
"150175 Brejo Grande do Araguaia";-;-;2;2;-;3;2;-;-;-;-;1;-;-;-;-;-;-;-;10
"150178 Breu Branco";1;1;2;1;9;12;1;-;-;1;1;2;1;1;1;1;-;-;1;36
"150180 Breves";-;3;3;3;2;23;1;-;1;3;2;4;-;2;-;1;-;1;7;56
"150190 Bujaru";1;-;1;1;1;6;-;-;-;1;1;3;-;-;-;-;-;1;1;17
"150200 Cachoeira do Arari";-;-;1;1;-;6;-;-;-;1;-;2;-;-;-;-;-;-;-;11
"150195 Cachoeira do Piriá";-;-;-;-;1;6;-;-;-;2;-;-;-;-;-;-;-;-;-;9
"150210 Cametá";-;7;7;6;10;36;2;1;-;2;8;11;-;4;1;-;-;4;3;102
"150215 Canaã dos Carajás";3;1;5;3;12;21;6;2;-;-;2;18;2;2;-;-;-;4;6;87
"150220 Capanema";-;3;7;9;22;25;6;1;-;3;2;13;1;3;-;1;-;4;5;105
"150230 Capitão Poço";1;-;2;3;4;9;1;1;-;-;2;5;-;1;-;-;-;2;2;33
"150240 Castanhal";1;6;16;20;30;61;17;4;3;33;4;37;6;13;2;1;-;15;12;281
"150250 Chaves";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"150260 Colares";-;-;-;1;3;7;1;-;-;2;1;4;-;1;-;1;-;-;2;23
"150270 Conceição do Araguaia";2;4;5;7;9;22;5;1;1;4;2;14;1;4;-;-;-;8;6;95
"150275 Concórdia do Pará";-;-;1;2;1;7;-;-;-;3;-;7;-;-;-;-;-;-;2;23
"150276 Cumaru do Norte";2;-;2;1;1;7;2;-;-;2;-;4;-;-;-;-;-;-;1;22
"150277 Curionópolis";2;2;1;1;2;13;2;-;-;4;2;3;-;1;-;1;-;1;1;36
"150280 Curralinho";-;-;1;1;-;6;-;1;-;1;1;2;-;-;-;-;-;-;-;13
"150285 Curuá";-;-;1;-;1;6;-;-;-;1;1;1;-;-;-;-;-;1;-;12
"150290 Curuçá";-;1;3;-;4;19;1;-;-;8;1;7;1;1;-;-;-;-;2;48
"150293 Dom Eliseu";2;1;5;6;1;12;2;-;-;2;1;9;3;-;-;-;-;2;1;47
"150295 Eldorado do Carajás";3;-;4;1;3;11;1;-;-;5;1;4;-;1;1;-;-;-;2;37
"150300 Faro";-;-;-;-;-;3;-;1;-;-;-;1;-;-;-;1;-;-;-;6
"150304 Floresta do Araguaia";-;1;1;-;-;6;1;-;-;1;1;2;-;1;-;-;-;-;3;17
"150307 Garrafão do Norte";-;-;1;1;2;6;1;-;-;-;-;2;-;-;-;-;-;-;-;13
"150309 Goianésia do Pará";1;1;2;1;2;8;1;-;-;3;1;2;-;1;-;-;-;1;2;26
"150310 Gurupá";-;-;1;-;1;4;1;-;-;-;-;2;-;-;-;-;-;-;-;9
"150320 Igarapé-Açu";1;2;2;-;9;13;2;1;-;-;3;8;1;1;-;-;-;-;1;44
"150330 Igarapé-Miri";2;2;3;3;7;12;2;1;-;1;1;8;-;3;-;-;-;-;5;50
"150340 Inhangapi";-;1;-;-;1;6;-;-;-;-;-;3;-;-;-;-;-;1;1;13
"150345 Ipixuna do Pará";-;1;1;2;2;9;1;-;-;3;-;1;-;-;-;-;-;-;1;21
"150350 Irituia";-;1;1;-;5;9;-;-;-;2;1;7;-;-;-;-;-;-;1;27
"150360 Itaituba";8;-;6;3;9;35;1;-;-;4;1;5;-;2;-;-;-;1;2;77
"150370 Itupiranga";2;-;3;-;7;8;2;-;-;-;1;4;-;-;-;-;-;-;-;27
"150375 Jacareacanga";1;-;-;-;1;7;-;-;-;1;-;1;-;-;-;-;-;-;1;12
"150380 Jacundá";4;1;6;-;2;15;2;1;2;3;1;5;1;2;-;-;-;2;2;49
"150390 Juruti";-;1;2;-;4;21;1;1;-;1;1;5;-;2;-;-;-;3;1;43
"150400 Limoeiro do Ajuru";-;-;1;1;-;5;-;-;-;2;1;3;-;1;-;-;-;-;-;14
"150405 Mãe do Rio";-;1;3;2;3;8;2;-;-;2;1;5;-;-;-;-;-;1;1;29
"150410 Magalhães Barata";-;-;-;-;1;5;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"150420 Marabá";1;14;33;19;55;111;29;8;13;2;13;47;14;14;1;11;-;38;25;448
"150430 Maracanã";-;1;1;-;2;13;1;-;-;5;-;3;-;-;-;-;-;-;3;29
"150440 Marapanim";-;1;-;1;2;9;-;-;-;2;-;7;-;-;-;-;-;1;-;23
"150442 Marituba";-;19;13;3;16;44;12;4;4;11;4;27;1;10;-;1;-;13;6;188
"150445 Medicilândia";1;1;1;-;1;7;1;-;-;1;-;4;-;-;-;-;-;-;-;17
"150450 Melgaço";-;1;1;1;2;14;-;-;-;2;-;2;-;1;-;-;-;-;-;24
"150460 Mocajuba";-;1;-;1;3;9;-;-;-;2;-;5;-;1;-;-;-;-;1;23
"150470 Moju";1;2;4;2;3;11;1;2;-;3;1;11;1;1;-;-;-;-;3;46
"150480 Monte Alegre";-;1;3;3;7;27;3;1;-;-;-;3;1;1;-;-;-;-;-;50
"150490 Muaná";-;1;1;1;-;7;1;1;-;1;1;2;-;1;-;-;-;-;1;18
"150495 Nova Esperança do Piriá";-;-;1;-;-;5;-;-;-;1;-;4;-;1;-;-;-;-;1;13
"150497 Nova Ipixuna";-;1;1;-;1;6;-;-;-;1;-;2;-;-;-;-;-;-;-;12
"150500 Nova Timboteua";-;1;-;-;1;3;-;-;-;2;-;3;-;1;-;-;-;-;1;12
"150503 Novo Progresso";3;-;2;1;-;12;1;-;-;1;-;3;-;-;-;-;-;-;-;23
"150506 Novo Repartimento";3;1;3;1;6;14;1;-;-;2;-;1;-;1;-;-;1;-;-;34
"150510 Óbidos";4;2;2;-;3;18;3;1;-;1;-;4;1;-;-;-;-;2;-;41
"150520 Oeiras do Pará";-;1;1;1;1;6;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"150530 Oriximiná";-;-;6;14;9;18;3;1;1;-;1;9;2;1;-;1;-;3;2;71
"150540 Ourém";-;1;1;1;3;6;1;1;-;3;1;4;-;1;-;-;-;1;1;25
"150543 Ourilândia do Norte";-;1;2;1;-;9;1;2;-;1;1;12;-;-;-;1;-;1;5;37
"150548 Pacajá";-;-;1;2;2;9;1;-;-;-;1;2;-;-;-;-;-;-;1;19
"150549 Palestina do Pará";1;-;1;3;-;4;-;-;-;1;-;1;-;-;-;-;-;-;-;11
"150550 Paragominas";-;3;14;2;25;40;9;6;-;7;2;24;1;5;1;2;-;8;6;155
"150553 Parauapebas";2;7;15;15;40;71;27;7;6;4;9;60;2;9;-;3;-;26;10;313
"150555 Pau D'Arco";1;1;2;2;-;5;1;1;-;-;-;5;-;-;-;-;-;-;-;18
"150560 Peixe-Boi";-;-;-;-;-;3;-;-;-;3;-;4;-;-;-;-;-;-;-;10
"150563 Piçarra";-;-;1;-;4;6;-;-;-;1;1;1;-;1;-;-;-;-;2;17
"150565 Placas";1;-;1;1;-;3;1;-;-;-;-;1;-;-;-;-;-;-;-;8
"150570 Ponta de Pedras";-;1;1;-;3;6;-;-;-;1;1;3;-;-;-;-;-;-;2;18
"150580 Portel";-;1;3;3;2;12;1;1;-;4;1;5;1;1;-;-;-;-;1;36
"150590 Porto de Moz";-;1;-;2;-;7;1;-;-;3;1;1;-;1;-;-;-;-;1;18
"150600 Prainha";-;1;1;2;1;11;-;-;-;1;-;1;-;1;-;-;-;-;-;19
"150610 Primavera";-;-;1;-;-;2;-;-;-;4;1;4;-;2;-;-;-;-;1;15
"150611 Quatipuru";-;1;-;-;1;3;-;-;-;3;-;4;-;-;-;-;-;-;1;13
"150613 Redenção";3;7;15;4;17;37;10;3;5;2;5;26;3;4;-;2;-;21;12;176
"150616 Rio Maria";-;3;4;2;3;9;2;2;-;2;1;6;-;3;-;-;-;-;4;41
"150618 Rondon do Pará";-;-;5;6;4;15;1;1;-;4;1;8;1;2;-;-;-;1;2;51
"150619 Rurópolis";3;1;1;-;-;11;1;-;-;-;-;2;-;-;-;-;-;-;1;20
"150620 Salinópolis";-;4;3;2;15;14;2;2;-;4;1;11;-;1;-;-;-;3;1;63
"150630 Salvaterra";-;1;-;2;-;8;1;1;-;3;1;5;-;1;-;-;-;-;1;24
"150635 Santa Bárbara do Pará";-;-;1;-;2;6;-;-;-;1;-;3;-;-;-;-;-;-;1;14
"150640 Santa Cruz do Arari";-;-;1;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;1;6
"150650 Santa Izabel do Pará";-;2;4;4;6;20;2;1;-;9;3;18;1;6;-;-;-;5;7;88
"150655 Santa Luzia do Pará";-;1;-;-;1;7;1;-;-;5;-;5;1;1;-;-;-;-;1;23
"150658 Santa Maria das Barreiras";-;1;2;1;2;10;2;-;-;-;-;4;-;1;-;-;-;-;-;23
"150660 Santa Maria do Pará";3;1;2;1;1;6;2;-;-;3;1;4;-;1;-;-;-;1;-;26
"150670 Santana do Araguaia";-;1;3;3;4;12;4;-;-;3;-;5;-;1;-;-;-;1;5;42
"150680 Santarém";1;11;27;17;49;163;22;6;9;15;7;49;9;10;-;6;-;49;18;468
"150690 Santarém Novo";-;-;1;-;1;4;-;-;-;2;-;3;-;-;-;-;-;-;-;11
